Peak_Chr	Peak_Start	Peak_End	Feature_Chr	Feature_RegulatoryRegion_Begin	Feature_RegulatoryRegion_End	Feature_Name	FeatureOverlapToPeak
chr11	58768002	58768913	chr11	58767049	58773014	Hist3h2bb-ps	911
chr11	58773716	58774066	chr11	58772282	58777782	Trim17	350
chr11	58790815	58792189	chr11	58786617	58792117	Trim11	1302
chr11	58976940	58977641	chr11	58976352	58982244	A230051G13Rik	701
chr11	59005169	59005764	chr11	59000704	59006243	Guk1	595
chr11	59005169	59005764	chr11	59004752	59010454	Guk1	595
chr11	59015587	59016088	chr11	59011018	59016518	Mrpl55	501
chr11	59021604	59022341	chr11	59016862	59022362	2310033P09Rik	737
chr11	59041403	59041940	chr11	59040877	59046664	Arf1	537
chr11	59041403	59041940	chr11	59041174	59046769	Arf1	537
chr11	59107444	59107758	chr11	59103578	59109253	Wnt3a	314
chr11	59120355	59120554	chr11	59115431	59120931	Wnt9a	199
chr11	59354882	59355204	chr11	59351187	59356687	Nlrp3	322
chr11	59475322	59476131	chr11	59470996	59476496	Mprip	809
chr11	59778586	59779086	chr11	59777521	59783444	Rasd1	500
chr11	60033693	60034246	chr11	60033454	60039106	Srebf1	553
chr11	60036297	60036663	chr11	60033454	60039106	Srebf1	366
chr11	60350350	60351360	chr11	60346184	60351684	Alkbh5	1010
chr11	60540735	60542889	chr11	60540128	60545723	Flii	2154
chr11	60540735	60542889	chr11	60536899	60542399	Smcr7	1664
chr11	60543513	60543906	chr11	60540128	60545723	Flii	393
chr11	60624344	60625187	chr11	60623905	60629767	Shmt1	843
chr11	60640227	60640678	chr11	60639132	60644632	Dhrs7b	451
chr11	60643940	60644280	chr11	60639132	60644632	Dhrs7b	340
chr11	60692166	60693274	chr11	60691714	60697540	Tmem11	1108
chr11	60695581	60696298	chr11	60691714	60697540	Tmem11	717
chr11	60748835	60749581	chr11	60744567	60750369	Gm16516	746
chr11	60988341	60989259	chr11	60987716	60993561	Usp22	918
chr11	61080333	61081015	chr11	61079855	61085629	Aldh3a2	682
chr11	61194798	61195513	chr11	61190914	61196577	Slc47a1	715
chr11	61307570	61307943	chr11	61307081	61312705	Mapk7	373
chr11	61461700	61462097	chr11	61461822	61467322	Grap	275
chr11	61575601	61576005	chr11	61574955	61580590	Prpsap2	404
chr11	62270209	62271049	chr11	62266961	62272461	Pigl	840
chr11	62270209	62271049	chr11	62270149	62275834	Ncor1	840
chr11	62271573	62272520	chr11	62266961	62272461	Pigl	888
chr11	62271573	62272520	chr11	62270149	62275834	Ncor1	947
chr11	62363500	62365403	chr11	62360005	62365505	Ubb	1903
chr11	62415999	62417182	chr11	62411378	62416878	2410006H16Rik	879
chr11	62415999	62417182	chr11	62411587	62417087	Snord49b	1088
chr11	62415999	62417182	chr11	62411961	62417461	Snord49a	1183
chr11	62415999	62417182	chr11	62413031	62418531	Snord65	1183
chr11	62629046	62629400	chr11	62628754	62634254	Trim16	354
chr11	62658101	62658362	chr11	62655624	62661124	Fbxw10	261
chr11	62873525	62873893	chr11	62870160	62875660	Tekt3	368
chr11	64792307	64792772	chr11	64787536	64793036	Elac2	465
chr11	65548114	65548435	chr11	65547734	65553334	Mir744	321
chr11	65620297	65621174	chr11	65615745	65621245	Zkscan6	877
chr11	66865787	66866327	chr11	66865536	66871120	2310004I24Rik	540
chr11	66865787	66866327	chr11	66861171	66866671	Sco1	540
chr11	67508298	67508561	chr11	67503827	67509327	Rcvrn	263
chr11	68314451	68314866	chr11	68311520	68317020	Pik3r6	415
chr11	68316046	68316615	chr11	68311520	68317020	Pik3r6	569
chr11	68666641	68667934	chr11	68665943	68671633	Ndel1	1293
chr11	68710711	68711023	chr11	68710067	68715567	Rpl26	312
chr11	68710711	68711023	chr11	68710090	68715590	Gm15772	312
chr11	68714814	68715270	chr11	68710067	68715567	Rpl26	456
chr11	68714814	68715270	chr11	68710090	68715590	Gm15772	456
chr11	68781008	68781633	chr11	68776632	68782132	Slc25a35	625
chr11	68829263	68830096	chr11	68824412	68829912	1500010J02Rik	649
chr11	68854328	68855026	chr11	68854144	68859644	Aurkb	698
chr11	68859067	68859669	chr11	68854144	68859644	Aurkb	577
chr11	68879249	68879859	chr11	68879310	68884810	Tmem107	549
chr11	68880088	68880645	chr11	68879310	68884810	Tmem107	557
chr11	68908120	68909343	chr11	68907457	68912957	Per1	1223
chr11	68908120	68909343	chr11	68908659	68914159	Per1	684
chr11	68910451	68910879	chr11	68907457	68912957	Per1	428
chr11	68910451	68910879	chr11	68908659	68914159	Per1	428
chr11	68912133	68912622	chr11	68907457	68912957	Per1	489
chr11	68912133	68912622	chr11	68908659	68914159	Per1	489
chr11	68913339	68914231	chr11	68908659	68914159	Per1	820
chr11	68931049	68931481	chr11	68928954	68934454	Hes7	432
chr11	68934916	68935486	chr11	68934878	68940378	Aloxe3	570
chr11	68936866	68938232	chr11	68934878	68940378	Aloxe3	1366
chr11	69133147	69133579	chr11	69132487	69137987	Trappc1	432
chr11	69137186	69137668	chr11	69132487	69137987	Trappc1	482
chr11	69137186	69137668	chr11	69134759	69140259	Kcnab3	482
chr11	69137186	69137668	chr11	69135691	69142375	Cntrob	482
chr11	69203948	69204522	chr11	69204292	69209792	Lsmd1	230
chr11	69208817	69209782	chr11	69208135	69213848	Cyb5d1	965
chr11	69208817	69209782	chr11	69204292	69209792	Lsmd1	965
chr11	69228814	69229292	chr11	69226534	69232177	Kdm6b	478
chr11	69231041	69232870	chr11	69226534	69232177	Kdm6b	1136
chr11	69441850	69442155	chr11	69441472	69446972	Fxr2	305
chr11	69479289	69480055	chr11	69475470	69481144	Mpdu1	766
chr11	69479289	69480055	chr11	69479021	69484564	Cd68	766
chr11	69482731	69483012	chr11	69479021	69484564	Cd68	281
chr11	69484284	69485204	chr11	69479021	69484564	Cd68	280
chr11	69485452	69486234	chr11	69485280	69490925	Eif4a1	782
chr11	69571432	69573119	chr11	69571132	69576725	Polr2a	1687
chr11	69651571	69652520	chr11	69646983	69653351	Nlgn2	949
chr11	69651571	69652520	chr11	69647026	69652526	1810027O10Rik	949
chr11	69694542	69695137	chr11	69690848	69696520	Tmem95	595
chr11	69694542	69695137	chr11	69691265	69699487	Kctd11	595
chr11	69708141	69708614	chr11	69708287	69714041	Acap1	327
chr11	69709005	69709265	chr11	69708287	69714041	Acap1	260
chr11	69714375	69715439	chr11	69710379	69715879	Neurl4	1064
chr11	69714375	69715439	chr11	69713304	69719488	2810408A11Rik	1064
chr11	69733192	69734023	chr11	69733342	69739132	Eif5a	681
chr11	69733192	69734023	chr11	69733802	69739449	Eif5a	221
chr11	69793610	69794386	chr11	69789669	69795169	Dullard	776
chr11	69793610	69794386	chr11	69793000	69798745	Rai12	776
chr11	69793610	69794386	chr11	69794208	69799737	Rai12	178
chr11	69804399	69805126	chr11	69799871	69805371	Gabarap	727
chr11	69804399	69805126	chr11	69804272	69809772	Phf23	727
chr11	69810605	69810826	chr11	69809127	69814627	Dvl2	221
chr11	69813944	69814299	chr11	69809127	69814627	Dvl2	355
chr11	70034253	70034936	chr11	70033480	70039496	Slc16a13	683
chr11	70051258	70051580	chr11	70050785	70056416	0610010K14Rik	322
chr11	70435810	70436213	chr11	70432131	70437696	Chrne	403
chr11	70452318	70452694	chr11	70447623	70453123	Gp1ba	376
chr11	70460661	70461157	chr11	70456090	70461590	Rnf167	496
chr11	70460661	70461157	chr11	70459769	70465495	Slc25a11	496
chr11	70832569	70833877	chr11	70828112	70833612	Mis12	1043
chr11	70832569	70833877	chr11	70832145	70837765	Derl2	1308
chr11	70845774	70846004	chr11	70845490	70852119	6330403K07Rik	230
chr11	72027950	72028197	chr11	72027962	72034094	Med31	235
chr11	72027950	72028197	chr11	72023639	72029139	4930563E22Rik	247
chr11	72028403	72028720	chr11	72027962	72034094	Med31	317
chr11	72028403	72028720	chr11	72023639	72029139	4930563E22Rik	317
chr11	72363676	72364094	chr11	72362999	72368748	Spns3	418
chr11	72774514	72774761	chr11	72769670	72775170	Atp2a3	247
chr11	72775109	72775595	chr11	72769670	72775170	Atp2a3	61
chr11	72812079	72812637	chr11	72807646	72813146	P2rx1	558
chr11	72861167	72861534	chr11	72856368	72861868	1200014J11Rik	367
chr11	72951729	72952004	chr11	72948485	72956796	Gsg2	275
chr11	73012164	73013683	chr11	73007983	73013483	Shpk	1319
chr11	73012164	73013683	chr11	73011919	73017521	Ctns	1519
chr11	73720459	73720802	chr11	73719553	73725992	Olfr395	343
chr11	74584062	74584772	chr11	74579364	74584864	Mett10d	710
chr11	74642965	74644552	chr11	74639425	74644925	Mnt	1587
chr11	74709786	74710210	chr11	74706581	74712081	Tsr1	424
chr11	74709786	74710210	chr11	74709826	74715582	Sgsm2	384
chr11	74710754	74711271	chr11	74706581	74712081	Tsr1	517
chr11	74710754	74711271	chr11	74709826	74715582	Sgsm2	517
chr11	74986961	74987404	chr11	74981889	74987389	Mir212	428
chr11	74986961	74987404	chr11	74982004	74988757	Hic1	443
chr11	74986961	74987404	chr11	74982183	74987683	Mir132	443
chr11	75271865	75272657	chr11	75270040	75275540	2210403K04Rik	792
chr11	75271865	75272657	chr11	75272217	75277717	Mir22	440
chr11	75271865	75272657	chr11	75263795	75273219	Wdr81	792
chr11	75273515	75274258	chr11	75270040	75275540	2210403K04Rik	743
chr11	75273515	75274258	chr11	75272217	75277717	Mir22	743
chr11	75274512	75275350	chr11	75270040	75275540	2210403K04Rik	838
chr11	75274512	75275350	chr11	75272217	75277717	Mir22	838
chr11	75300024	75300494	chr11	75295278	75300778	Prpf8	470
chr11	75326320	75326670	chr11	75322042	75327542	Scarf1	350
chr11	75345438	75345730	chr11	75340211	75345711	Slc43a2	273
chr11	75401245	75401818	chr11	75396609	75402109	Pitpna	573
chr11	75444200	75444957	chr11	75439521	75445021	Inpp5k	757
chr11	75465759	75466386	chr11	75460651	75466151	Myo1c	392
chr11	75465759	75466386	chr11	75464516	75470016	Myo1c	627
chr11	75492203	75492842	chr11	75487811	75493311	Crk	639
chr11	76030924	76031408	chr11	76026114	76031614	Dbil5	484
chr11	76030924	76031408	chr11	76030479	76036074	Gemin4	484
chr11	76220185	76220890	chr11	76215668	76221168	Timm22	705
chr11	76386395	76386739	chr11	76384032	76389876	Abr	344
chr11	76490517	76490921	chr11	76488374	76493874	Tusc5	404
chr11	76659099	76660672	chr11	76659225	76665510	Cpd	1447
chr11	76807138	76807511	chr11	76807098	76812598	Slc6a4	373
chr11	76810322	76810680	chr11	76807098	76812598	Slc6a4	358
chr11	76810883	76811205	chr11	76807098	76812598	Slc6a4	322
chr11	76891852	76892307	chr11	76891065	76896674	Mir423	455
chr11	76891852	76892307	chr11	76891380	76896937	Ccdc55	455
chr11	77028264	77028723	chr11	77024926	77030426	Ssh2	459
chr11	77029514	77029835	chr11	77024926	77030426	Ssh2	321
chr11	77273929	77274217	chr11	77272414	77277914	Coro6	288
chr11	77274834	77275180	chr11	77272414	77277914	Coro6	346
chr11	77499169	77500036	chr11	77494640	77500140	Nufip2	867
chr11	77585718	77586047	chr11	77585766	77591266	Myo18a	281
chr11	77741431	77741699	chr11	77739444	77744944	Sez6	268
chr11	77795111	77796517	chr11	77791317	77796817	Phf12	1406
chr11	77989507	77990052	chr11	77989561	77995168	Nek8	491
chr11	77989507	77990052	chr11	77987267	77992767	Tlcd1	545
chr11	77990321	77990649	chr11	77989561	77995168	Nek8	328
chr11	77990321	77990649	chr11	77987267	77992767	Tlcd1	328
chr11	77996471	77997258	chr11	77994688	78000258	Snord4a	787
chr11	77996471	77997258	chr11	77996520	78002086	Rpl23a	738
chr11	77996471	77997258	chr11	77996928	78002428	Rab34	330
chr11	77996471	77997258	chr11	77997249	78002749	Rab34	9
chr11	78058927	78059727	chr11	78054247	78059747	Sdf2	800
chr11	78058927	78059727	chr11	78058549	78064205	Supt6h	800
chr11	78070310	78070696	chr11	78070255	78075755	2610507B11Rik	386
chr11	78074916	78075126	chr11	78070255	78075755	2610507B11Rik	210
chr11	78141817	78142170	chr11	78136923	78142423	Pigs	353
chr11	78235191	78235567	chr11	78235067	78240687	Slc13a2	376
chr11	78349580	78350081	chr11	78349074	78354762	Tnfaip1	501
chr11	78349580	78350081	chr11	78349087	78354762	Tnfaip1	501
chr11	78349580	78350081	chr11	78344937	78350437	Ift20	501
chr11	78363497	78364303	chr11	78363529	78369237	Tmem97	774
chr11	78511409	78511781	chr11	78508810	78515927	Nlk	372
chr11	78798178	78798576	chr11	78797779	78803426	Lgals9	398
chr11	79067964	79068413	chr11	79067354	79073197	Wsb1	449
chr11	79151603	79152090	chr11	79148393	79153893	Nf1	487
chr11	79343891	79344199	chr11	79343370	79349091	Evi2b	308
chr11	79343891	79344199	chr11	79343370	79349111	Evi2a	308
chr11	79436552	79437009	chr11	79435901	79441665	Gm11202	457
chr11	79805872	79807114	chr11	79801607	79807107	Suz12	1235
chr11	80022274	80022729	chr11	80017556	80023056	Rhot1	455
chr11	80196217	80196988	chr11	80190843	80196517	5730455P16Rik	300
chr11	80196217	80196988	chr11	80191780	80197280	Zfp207	771
chr11	80238280	80238567	chr11	80237116	80242616	Psmd11	287
chr11	80241824	80242284	chr11	80237116	80242616	Psmd11	460
chr11	80671150	80671453	chr11	80666890	80672390	Spaca3	303
chr11	81996689	81997105	chr11	81992670	81998314	Ccl1	416
chr11	82683681	82684763	chr11	82683656	82689246	Rffl	1082
chr11	82683681	82684763	chr11	82684009	82689712	Rffl	754
chr11	82765481	82766481	chr11	82760603	82766103	Slfn5	622
chr11	82878699	82879010	chr11	82873613	82879113	Slfn2	311
chr11	83037046	83038068	chr11	83032077	83037577	AI662270	531
chr11	83104845	83105305	chr11	83100200	83105700	AA465934	460
chr11	83104845	83105305	chr11	83101931	83107431	AI450353	460
chr11	83104845	83105305	chr11	83102805	83108305	Snord7	460
chr11	83104845	83105305	chr11	83099635	83105228	Slfn14-ps	383
chr11	83115814	83116420	chr11	83111198	83116698	Ap2b1	606
chr11	83115814	83116420	chr11	83111841	83117479	Pex12	606
chr11	83390450	83391027	chr11	83390562	83396062	E230016K23Rik	465
chr11	83392694	83393112	chr11	83390562	83396062	E230016K23Rik	418
chr11	83392694	83393112	chr11	83391390	83397138	Ccl9	418
chr11	84632808	84633259	chr11	84631838	84638017	Mrm1	451
chr11	84642452	84643254	chr11	84641752	84647505	Dhrs11	802
chr11	84693048	84693834	chr11	84692720	84698697	Pigw	786
chr11	84693048	84693834	chr11	84693229	84698787	Pigw	605
chr11	84693048	84693834	chr11	84688721	84694221	Myo19	786
chr11	84729561	84730069	chr11	84729257	84734858	Znhit3	508
chr11	84732836	84733139	chr11	84729257	84734858	Znhit3	303
chr11	86395720	86397180	chr11	86397068	86402660	Mir21	112
chr11	86570969	86572412	chr11	86570249	86575994	Cltc	1443
chr11	86940305	86940832	chr11	86935578	86941078	Trim37	527
chr11	87217740	87218357	chr11	87213566	87219066	Tex14	617
chr11	87217740	87218357	chr11	87217305	87222997	Rad51c	617
chr11	87405093	87405957	chr11	87400718	87406218	Mtmr4	864
chr11	87550270	87550588	chr11	87546066	87551566	Supt4h1	318
chr11	87564862	87565565	chr11	87565365	87570865	Mir142	200
chr11	87568140	87568652	chr11	87565365	87570865	Mir142	512
chr11	87568941	87569240	chr11	87565365	87570865	Mir142	299
chr11	87568941	87569240	chr11	87569042	87574542	Bzrap1	198
chr11	87569849	87570372	chr11	87565365	87570865	Mir142	523
chr11	87569849	87570372	chr11	87569042	87574542	Bzrap1	523
chr11	87570696	87572631	chr11	87565365	87570865	Mir142	169
chr11	87570696	87572631	chr11	87569042	87574542	Bzrap1	1935
chr11	87666333	87666887	chr11	87661726	87667226	Mks1	554
chr11	87860591	87861117	chr11	87856172	87861672	Srsf1	526
chr11	87977771	87978239	chr11	87978066	87983566	Cuedc1	173
chr11	88017073	88018069	chr11	88012919	88018419	Mrps23	996
chr11	88816136	88816958	chr11	88816107	88821756	Scpep1	822
chr11	88921850	88922622	chr11	88920744	88927062	Dgke	772
chr11	90110328	90111091	chr11	90105789	90111289	Mmd	763
chr11	90499209	90499645	chr11	90494497	90499997	Cox11	436
chr11	90499209	90499645	chr11	90498846	90504422	Stxbp4	436
chr11	93746192	93747504	chr11	93742532	93748032	Mbtd1	1312
chr11	93746192	93747504	chr11	93746147	93752080	Utp18	1312
chr11	93829174	93829952	chr11	93829034	93834835	Nme1	778
chr11	93856204	93857249	chr11	93852404	93857904	Spag9	1045
chr11	94189607	94189940	chr11	94184314	94189814	Ankrd40	207
chr11	94409439	94410885	chr11	94409796	94415521	Rsad1	1089
chr11	94490887	94491692	chr11	94486137	94491637	Lrrc59	750
chr11	94850732	94851374	chr11	94847525	94853025	Ppp1r9b	642
chr11	94852086	94852673	chr11	94847525	94853025	Ppp1r9b	587
chr11	95120328	95121599	chr11	95117842	95123342	Tac4	1271
chr11	95170356	95171222	chr11	95170848	95176560	Myst2	374
chr11	95171546	95171989	chr11	95170848	95176560	Myst2	443
chr11	95275568	95276438	chr11	95270396	95275896	Spop	328
chr11	95527946	95528498	chr11	95523270	95528770	Phb	552
chr11	95609770	95610074	chr11	95605380	95610880	Zfp652	304
chr11	95685669	95686131	chr11	95680813	95686313	Phospho1	462
chr11	95776920	95777229	chr11	95775633	95781185	B4galnt2	309
chr11	95939335	95939602	chr11	95936370	95941945	Atp5g1	267
chr11	95939335	95939602	chr11	95936440	95942008	Atp5g1	267
chr11	95991011	95991240	chr11	95990099	95995599	Ttll6	229
chr11	96175953	96176270	chr11	96174580	96180080	Hoxb4	317
chr11	96175953	96176270	chr11	96173478	96178978	Mir10a	317
chr11	96650388	96650675	chr11	96645449	96650949	Cbx1	287
chr11	96690763	96691902	chr11	96690224	96695816	Nfe2l1	1139
chr11	96690763	96691902	chr11	96690632	96696282	Nfe2l1	1139
chr11	96786104	96787623	chr11	96785637	96791137	Prr15l	1519
chr11	96805232	96806111	chr11	96800459	96805959	D030028A08Rik	727
chr11	96805232	96806111	chr11	96804544	96810333	Pnpo	879
chr11	96809127	96810140	chr11	96804544	96810333	Pnpo	1013
chr11	96838229	96838620	chr11	96838434	96844002	Sp2	186
chr11	96838973	96839616	chr11	96838434	96844002	Sp2	643
chr11	96840096	96840932	chr11	96838434	96844002	Sp2	836
chr11	96843779	96844107	chr11	96838434	96844002	Sp2	223
chr11	96887453	96887826	chr11	96886265	96891765	Scrn2	373
chr11	96900958	96901229	chr11	96897899	96903399	Mrpl10	271
chr11	96902487	96902948	chr11	96897899	96903399	Mrpl10	461
chr11	96902487	96902948	chr11	96901896	96907683	Lrrc46	461
chr11	97049222	97049532	chr11	97048359	97054206	Kpnb1	310
chr11	97049738	97050423	chr11	97048359	97054206	Kpnb1	685
chr11	97052277	97052675	chr11	97048359	97054206	Kpnb1	398
chr11	97176801	97177415	chr11	97172029	97177529	Mrpl45	614
chr11	97521440	97521723	chr11	97519725	97525225	Mllt6	283
chr11	97545384	97545915	chr11	97542265	97547765	Cisd3	531
chr11	97887803	97888399	chr11	97883023	97888523	Rpl19	596
chr11	97887803	97888399	chr11	97883155	97888941	Cacnb1	596
chr11	97887803	97888399	chr11	97883237	97888737	Rpl19	596
chr11	98054530	98054838	chr11	98053620	98059220	Med1	308
chr11	98054530	98054838	chr11	98053872	98059607	Med1	308
chr11	98063460	98064213	chr11	98059618	98065118	Cdk12	753
chr11	98216912	98217562	chr11	98214697	98220197	Stard3	650
chr11	98219859	98220309	chr11	98214697	98220197	Stard3	338
chr11	98261520	98261932	chr11	98261028	98266804	Pgap3	412
chr11	98456799	98457077	chr11	98454604	98460104	Gm12	278
chr11	98458664	98458984	chr11	98454604	98460104	Gm12	320
chr11	98636825	98637554	chr11	98635531	98641556	Nr1d1	729
chr11	98656201	98656592	chr11	98652082	98657582	Msl1	391
chr11	98768828	98769293	chr11	98764202	98769702	Cdc6	465
chr11	98768828	98769293	chr11	98764464	98769964	Cdc6	465
chr11	98799210	98799597	chr11	98796024	98801524	Rara	387
chr11	98799210	98799597	chr11	98794009	98799509	Rara	299
chr11	98799210	98799597	chr11	98794031	98799531	Rara	321
chr11	98901136	98901616	chr11	98897573	98903073	Igfbp4	480
chr11	100180839	100181243	chr11	100176309	100181809	Eif1	404
chr11	100216691	100217004	chr11	100216503	100222455	Hap1	313
chr11	100260616	100260956	chr11	100258449	100264053	Jup	340
chr11	100480252	100481095	chr11	100479268	100484768	Nkiras2	843
chr11	100480252	100481095	chr11	100480341	100486482	Dnajc7	754
chr11	100599504	100599836	chr11	100598891	100604444	Rab5c	332
chr11	100635584	100635945	chr11	100631692	100637271	Ghdc	361
chr11	100685104	100685723	chr11	100682865	100688884	Stat5b	619
chr11	100714359	100714819	chr11	100711212	100716899	Stat5b	460
chr11	100720855	100721112	chr11	100715664	100721164	Stat5a	257
chr11	100720855	100721112	chr11	100716797	100722297	Stat5a	257
chr11	100721659	100722011	chr11	100716797	100722297	Stat5a	352
chr11	100800541	100801539	chr11	100800069	100805825	Stat3	998
chr11	100869251	100870135	chr11	100865768	100871268	Atp6v0a1	884
chr11	100870419	100872114	chr11	100865768	100871268	Atp6v0a1	849
chr11	100931083	100931633	chr11	100926407	100931907	Naglu	550
chr11	100943499	100944085	chr11	100943603	100949103	Mlx	482
chr11	100943499	100944085	chr11	100938938	100944438	Coasy	586
chr11	100956586	100957033	chr11	100956156	100961715	Psmc3ip	447
chr11	101032676	101033103	chr11	101031538	101037616	Plekhh3	427
chr11	101032676	101033103	chr11	101032430	101037930	Cntnap1	427
chr11	101033351	101034098	chr11	101031538	101037616	Plekhh3	747
chr11	101033351	101034098	chr11	101032430	101037930	Cntnap1	747
chr11	101035132	101035436	chr11	101031538	101037616	Plekhh3	304
chr11	101035132	101035436	chr11	101032430	101037930	Cntnap1	304
chr11	101087696	101087996	chr11	101087209	101092764	Ezh1	300
chr11	101139270	101140175	chr11	101139527	101145262	Ccdc56	648
chr11	101139270	101140175	chr11	101135516	101141016	Cntd1	905
chr11	101187665	101187938	chr11	101186919	101192419	Aoc3	273
chr11	101326233	101326847	chr11	101324651	101330151	Rnd2	614
chr11	101326233	101326847	chr11	101326521	101332513	Vat1	326
chr11	101413145	101415364	chr11	101409171	101414671	Nbr1	1526
chr11	101413145	101415364	chr11	101412582	101418269	Brca1	2219
chr11	101488096	101489390	chr11	101484262	101489762	Rdm1	1294
chr11	101526764	101527240	chr11	101521854	101527354	Arl4d	476
chr11	101846026	101846333	chr11	101843369	101848869	1700006E09Rik	307
chr11	101846026	101846333	chr11	101845425	101851084	Dusp3	307
chr11	101902907	101903188	chr11	101897824	101903324	Cd300lg	281
chr11	102106470	102106768	chr11	102105195	102110695	BC030867	298
chr11	102145770	102146373	chr11	102141274	102146774	Tmub2	603
chr11	102146661	102146977	chr11	102141274	102146774	Tmub2	113
chr11	102162504	102162914	chr11	102157216	102162943	Atxn7l3	410
chr11	102229708	102230044	chr11	102225870	102231595	Slc4a1	336
chr11	102268818	102269085	chr11	102268203	102273831	Slc25a39	267
chr11	102269759	102270390	chr11	102268203	102273831	Slc25a39	631
chr11	102291530	102292033	chr11	102286635	102292135	Grn	503
chr11	102331006	102331877	chr11	102330338	102336197	Itga2b	871
chr11	102419431	102419722	chr11	102416893	102422472	Gpatch8	291
chr11	102465378	102465886	chr11	102460744	102466244	Fzd2	508
chr11	102620337	102620621	chr11	102617752	102623252	Adam11	284
chr11	102742210	102742991	chr11	102737557	102743057	Ccdc103	781
chr11	102742210	102742991	chr11	102741482	102746982	4933439F11Rik	781
chr11	102742210	102742991	chr11	102741708	102747289	Eftud2	781
chr11	102786405	102787015	chr11	102785796	102791438	Kif18b	610
chr11	102977186	102978034	chr11	102972638	102978138	Hexim1	848
chr11	103081524	103081950	chr11	103079155	103084746	4933400C05Rik	426
chr11	103128693	103129537	chr11	103128151	103133715	Map3k14	844
chr11	103207101	103207333	chr11	103205323	103211016	Arhgap27	232
chr11	103272999	103274682	chr11	103273406	103278978	Plekhm1	1276
chr11	103558846	103559655	chr11	103558443	103564024	Gosr2	809
chr11	103562887	103563445	chr11	103558443	103564024	Gosr2	558
chr11	103827504	103828566	chr11	103823184	103828684	Arf2	1062
chr11	104303630	104304607	chr11	104302538	104308605	1700081L11Rik	977
chr11	104987107	104987653	chr11	104982738	104988238	Mettl2	546
chr11	105042533	105042819	chr11	105037843	105043343	Tlk2	286
chr11	105042533	105042819	chr11	105039834	105047747	1700052K11Rik	286
chr11	105807948	105808451	chr11	105804924	105810461	Cyb561	503
chr11	105927186	105928324	chr11	105922420	105927920	Taco1	734
chr11	106020724	106020962	chr11	106020864	106026456	Limd2	98
chr11	106021972	106022311	chr11	106020864	106026456	Limd2	339
chr11	106054301	106055450	chr11	106054279	106059862	Strada	1149
chr11	106077299	106078328	chr11	106073239	106078739	Ddx42	1029
chr11	106077299	106078328	chr11	106076962	106082681	Ccdc47	1029
chr11	106078698	106079246	chr11	106073239	106078739	Ddx42	41
chr11	106078698	106079246	chr11	106076962	106082681	Ccdc47	548
chr11	106134017	106134590	chr11	106132985	106138485	Tcam1	573
chr11	106134017	106134590	chr11	106133306	106139286	Smarcd2	573
chr11	106244873	106245692	chr11	106243243	106248955	Icam2	819
chr11	106349023	106349561	chr11	106348430	106354110	Ern1	538
chr11	106474261	106474673	chr11	106473671	106479244	Tex2	412
chr11	106576501	106576834	chr11	106575832	106581595	Pecam1	333
chr11	106612289	106612669	chr11	106607581	106613081	Gm885	380
chr11	106640213	106641743	chr11	106639772	106645851	Polg2	1530
chr11	106640213	106641743	chr11	106639897	106645829	Polg2	1530
chr11	106649464	106651280	chr11	106645565	106651065	Ccdc45	1601
chr11	106649464	106651280	chr11	106649086	106654808	Ddx5	1816
chr11	106993417	106993644	chr11	106992087	106998236	Bptf	227
chr11	107334508	107335013	chr11	107330704	107337034	Pitpnc1	505
chr11	107581355	107581977	chr11	107576973	107582790	Cacng1	622
chr11	108204788	108205084	chr11	108204308	108210202	Prkca	296
chr11	109286787	109287606	chr11	109282259	109287759	Amz2	819
chr11	109335049	109335389	chr11	109333751	109339543	Slc16a6	340
chr11	109335049	109335389	chr11	109334061	109339910	Slc16a6	340
chr11	109335049	109335389	chr11	109329687	109335187	Arsg	138
chr11	109472512	109472942	chr11	109472046	109477703	Wipi1	430
chr11	109476650	109477120	chr11	109472046	109477703	Wipi1	470
chr11	109511669	109512410	chr11	109507262	109512762	Prkar1a	741
chr11	113544280	113546274	chr11	113544675	113550465	D11Wsu99e	1599
chr11	113544280	113546274	chr11	113540725	113546225	D11Wsu47e	1945
chr11	114746470	114746810	chr11	114746354	114751854	Cd300a	340
chr11	114750414	114750691	chr11	114746354	114751854	Cd300a	277
chr11	114995117	114995514	chr11	114994652	115000306	Cd300lf	397
chr11	114996444	114996678	chr11	114994652	115000306	Cd300lf	234
chr11	115048544	115048869	chr11	115043800	115049300	Tmem104	325
chr11	115048544	115048869	chr11	115047932	115053630	Nat9	325
chr11	115050192	115050707	chr11	115047932	115053630	Nat9	515
chr11	115141117	115141418	chr11	115137622	115143283	Fdxr	301
chr11	115300757	115301022	chr11	115296858	115302358	4933422H20Rik	265
chr11	115336752	115337413	chr11	115331990	115337490	Armc7	661
chr11	115375371	115376085	chr11	115375033	115380684	Hn1	714
chr11	115396715	115396993	chr11	115396911	115402544	Sumo2	82
chr11	115465004	115465691	chr11	115460464	115465964	Mrps7	687
chr11	115465004	115465691	chr11	115464641	115470220	Gga3	687
chr11	115491133	115491754	chr11	115488878	115494453	Slc25a19	621
chr11	115569709	115570086	chr11	115569207	115574911	Grb2	377
chr11	115573665	115574573	chr11	115569207	115574911	Grb2	908
chr11	115676109	115676463	chr11	115671052	115676552	Tsen54	354
chr11	115676109	115676463	chr11	115674327	115679906	Caskin2	354
chr11	115759757	115760417	chr11	115756452	115761952	2210020M01Rik	660
